Abbreviation,Region,Structure,Hemisphere,Index,Xmm,Ymm,Zmm,Number_of_Voxels,Volume_mm3
F1_1,Superior Frontal Gyrus (1),Cortical,Left,1,-15.99,64.94,13.08,139,1112
F1_1,Superior Frontal Gyrus (1),Cortical,Right,2,12.88,67.68,10.64,25,200
F1_2,Superior Frontal Gyrus (2),Cortical,Left,3,-11.88,46.49,41.42,1108,8864
F1_2,Superior Frontal Gyrus (2),Cortical,Right,4,12.02,45.06,41.82,1168,9344
F1_3,Superior Frontal Gyrus (3),Cortical,Left,5,-19.79,16.21,63.44,57,456
F1_3,Superior Frontal Gyrus (3),Cortical,Right,6,19.41,17.2,60.69,102,816
f1_1,superior frontal sulcus (1),Cortical,Left,7,-22.02,61.48,-8.25,267,2136
f1_1,superior frontal sulcus (1),Cortical,Right,8,20.25,62.74,-5.59,620,4960
f1_2,superior frontal sulcus (2),Cortical,Left,9,-27.22,55.62,1.36,783,6264
f1_2,superior frontal sulcus (2),Cortical,Right,10,28.24,56.41,7.22,604,4832
f1_3,superior frontal sulcus (3),Cortical,Left,11,-25.62,42.78,29.54,659,5272
f1_3,superior frontal sulcus (3),Cortical,Right,12,24.89,45.07,29.01,655,5240
f1_4,superior frontal sulcus (4),Cortical,Left,13,-23.01,29.26,48.03,980,7840
f1_4,superior frontal sulcus (4),Cortical,Right,14,19.91,35.52,48.43,423,3384
f1_5,superior frontal sulcus (5),Cortical,Left,15,-27.14,10.77,56.57,611,4888
f1_5,superior frontal sulcus (5),Cortical,Right,16,27.18,16.82,52.21,1035,8280
f1_6,superior frontal sulcus (6),Cortical,Left,17,-23.73,0.28,58.99,608,4864
f1_6,superior frontal sulcus (6),Cortical,Right,18,23.24,2.15,59.55,528,4224
F2_1,Middle Frontal Gyrus (1),Cortical,Left,19,-39.98,41.11,19.53,272,2176
F2_1,Middle Frontal Gyrus (1),Cortical,Right,20,41.31,44.34,13.44,516,4128
F2_2,Middle Frontal Gyrus (2),Cortical,Left,21,-32.79,44.31,25.82,777,6216
F2_2,Middle Frontal Gyrus (2),Cortical,Right,22,31.7,45.23,27.25,697,5576
F2_3,Middle Frontal Gyrus (3),Cortical,Left,23,-39.03,31.01,35.93,146,1168
F2_3,Middle Frontal Gyrus (3),Cortical,Right,24,37.31,33.04,35.04,295,2360
F2_4,Middle Frontal Gyrus (4),Cortical,Left,25,-37.82,19.41,47.37,535,4280
F2_4,Middle Frontal Gyrus (4),Cortical,Right,26,38.83,21.57,46.44,424,3392
F2_5,Middle Frontal Gyrus (5),Cortical,Left,27,-43.24,19.84,37.07,245,1960
F2_5,Middle Frontal Gyrus (5),Cortical,Right,28,41.86,17.31,41.44,527,4216
f2_1,inferior frontal sulcus (1),Cortical,Left,29,-44.24,38.32,11.74,585,4680
