AICHA_Index,AICHA_Abbreviation,AICHA_Region,AICHA_Structure,AICHA_Hemisphere,AICHA_Number_of_Voxels,AICHA_Volume_mm3,AICHA_coordinates_Xmm,AICHA_coordinates_Ymm,AICHA_coordinates_Zmm,Network_7_Yan400_Name,Network_7_Yan400_Index
1,F1_1,Superior Frontal Gyrus (1),Cortical,Left,139,1112,-15.99,64.94,13.08,Default,7
2,F1_1,Superior Frontal Gyrus (1),Cortical,Right,25,200,12.88,67.68,10.64,Default,7
3,F1_2,Superior Frontal Gyrus (2),Cortical,Left,1108,8864,-11.88,46.49,41.42,Default,7
4,F1_2,Superior Frontal Gyrus (2),Cortical,Right,1168,9344,12.02,45.06,41.82,Default,7
5,F1_3,Superior Frontal Gyrus (3),Cortical,Left,57,456,-19.79,16.21,63.44,Default,7
6,F1_3,Superior Frontal Gyrus (3),Cortical,Right,102,816,19.41,17.2,60.69,Default,7
7,f1_1,superior frontal sulcus (1),Cortical,Left,267,2136,-22.02,61.48,-8.25,Limbic,5
8,f1_1,superior frontal sulcus (1),Cortical,Right,620,4960,20.25,62.74,-5.59,Limbic,5
9,f1_2,superior frontal sulcus (2),Cortical,Left,783,6264,-27.22,55.62,1.36,Default,7
10,f1_2,superior frontal sulcus (2),Cortical,Right,604,4832,28.24,56.41,7.22,Cont,6
11,f1_3,superior frontal sulcus (3),Cortical,Left,659,5272,-25.62,42.78,29.54,Default,7
12,f1_3,superior frontal sulcus (3),Cortical,Right,655,5240,24.89,45.07,29.01,Default,7
13,f1_4,superior frontal sulcus (4),Cortical,Left,980,7840,-23.01,29.26,48.03,Default,7
14,f1_4,superior frontal sulcus (4),Cortical,Right,423,3384,19.91,35.52,48.43,Default,7
15,f1_5,superior frontal sulcus (5),Cortical,Left,611,4888,-27.14,10.77,56.57,Default,7
16,f1_5,superior frontal sulcus (5),Cortical,Right,1035,8280,27.18,16.82,52.21,Cont,6
17,f1_6,superior frontal sulcus (6),Cortical,Left,608,4864,-23.73,0.28,58.99,DorsAttn,3
18,f1_6,superior frontal sulcus (6),Cortical,Right,528,4224,23.24,2.15,59.55,DorsAttn,3
19,F2_1,Middle Frontal Gyrus (1),Cortical,Left,272,2176,-39.98,41.11,19.53,Cont,6
20,F2_1,Middle Frontal Gyrus (1),Cortical,Right,516,4128,41.31,44.34,13.44,Cont,6
21,F2_2,Middle Frontal Gyrus (2),Cortical,Left,777,6216,-32.79,44.31,25.82,Cont,6
22,F2_2,Middle Frontal Gyrus (2),Cortical,Right,697,5576,31.7,45.23,27.25,SalVentAttn,4
23,F2_3,Middle Frontal Gyrus (3),Cortical,Left,146,1168,-39.03,31.01,35.93,Cont,6
24,F2_3,Middle Frontal Gyrus (3),Cortical,Right,295,2360,37.31,33.04,35.04,Cont,6
25,F2_4,Middle Frontal Gyrus (4),Cortical,Left,535,4280,-37.82,19.41,47.37,Default,7
26,F2_4,Middle Frontal Gyrus (4),Cortical,Right,424,3392,38.83,21.57,46.44,Cont,6
27,F2_5,Middle Frontal Gyrus (5),Cortical,Left,245,1960,-43.24,19.84,37.07,Cont,6
28,F2_5,Middle Frontal Gyrus (5),Cortical,Right,527,4216,41.86,17.31,41.44,Cont,6
29,f2_1,inferior frontal sulcus (1),Cortical,Left,585,4680,-44.24,38.32,11.74,Cont,6
30,f2_1,inferior frontal sulcus (1),Cortical,Right,281,2248,46.38,39.59,9.88,Cont,6
31,f2_2,inferior frontal sulcus (2),Cortical,Left,1116,8928,-43.11,14.84,29.41,Cont,6
32,f2_2,inferior frontal sulcus (2),Cortical,Right,1138,9104,43.94,18.51,28.38,Cont,6
33,F3t,Inferior Frontal Gyrus : Pars Triangularis,Cortical,Left,1289,10312,-49.44,25.56,4.68,Default,7
34,F3t,Inferior Frontal Gyrus : Pars Triangularis,Cortical,Right,967,7736,49.83,28.54,5.02,Default,7
35,F1O,Superior Orbito-Frontal Gyrus,Cortical,Left,421,3368,-12.43,52.19,-20.1,Limbic,5
