region,sentMword_list,sentMword_prod,sentMword_read,LBJ
1,0.0636857017,0.297161606,-0.022254449,-0.767649192
3,0.2786089457,0.4767809003,0.3088995248,-1.548218296
5,0.1570741776,0.5045807579,0.0099580497,-0.325375315
9,-0.024919768,0.2924613163,-0.125464868,-0.856088208
11,0.0782703543,0.3203546366,0.0041835697,-0.363463968
13,0.103107617,0.3628902366,0.0280117817,-0.764076082
15,0.1548254764,0.5081515849,0.0420620453,-0.344266152
17,0.1239925567,0.2939384348,0.0830619386,-0.280235052
19,0.006636784,0.3262673789,0.0809210738,-1.748225825
21,-0.059295071,0.1466608588,-0.135431607,-0.393208551
23,-0.000252356,0.2247845592,-0.127886449,-0.175980832
25,0.2211716923,0.4666495454,0.3370955432,-1.042287951
27,0.159549646,0.72778147,0.1217268798,-1.701837073
29,0.0760048543,0.6181182428,0.1999259009,-2.648305558
31,0.3423124076,0.9509497606,0.4006928902,-2.946283929
33,0.4072672213,1.0297385019,0.6080293346,-1.670233262
37,0.0070162112,0.1603599682,-0.05166674,-1.542001506
39,-0.005484111,0.5477247761,0.006149094,-1.282250315
41,0.0595913264,0.2301398383,0.1005169907,-1.137139423
45,0.0035289906,0.0252892162,-0.012634825,-1.757245612
47,0.0380469597,0.0865121571,0.0290757409,-1.322682648
51,0.2133165228,0.2923155478,0.4148198719,-2.876900705
53,0.0208018263,0.0997416314,0.0441873061,0.406000562
55,0.0308109707,0.109944555,0.0510857129,0.9259263617
57,0.3643233043,0.7124716553,0.5281818659,-2.082739956
59,-0.147280202,-0.296993413,0.0402137783,-0.506073594
61,-0.045459383,-0.091872823,-0.06076677,2.0322566165
63,-0.167409696,-0.214957133,-0.122872611,0.7701478605
65,-0.014311401,0.0107822762,0.0067804543,3.4141044115
67,-0.020586319,-0.015080907,-0.03082252,6.2494382363
69,-0.002765674,0.0228221045,0.0017290392,2.0817114801
71,-0.085474584,-0.116614089,-0.026793084,1.2710794708
73,0.0706603712,0.1083985941,0.0618605538,3.0967091434
75,0.048662484,0.1517169359,0.0353802884,0.9149652306
77,-0.052263684,-0.078156497,-0.067553661,1.0069828631
79,0.0372591273,0.0690600952,0.0025809569,1.1973230554
81,-0.015418582,0.0545788643,-0.065645489,2.6337845318
83,0.0392372211,0.1850024343,0.039425036,0.3215568065
85,0.0733256488,0.1943654206,-0.045725459,0.6425263135
87,0.0280158008,0.0745559961,0.069090547,1.2886039917
89,0.0185755278,0.1134455067,0.0126506916,0.3893704365
91,-0.017747554,0.0410426637,-0.05821519,0.6176429129
93,0.0343304317,0.1972132215,0.0126172475,-0.492691717
95,0.1157164972,0.3379407159,0.1247691986,-0.386730193
97,0.0949070332,0.3823806691,0.0775647089,-1.418697048
99,0.562345941,0.7932144576,0.7399804522,-0.551203546
101,0.0933920126,0.2680269231,0.0589630069,-1.217909188
103,0.241325474,0.3778120395,0.187986669,-1.421491875
105,0.1768685617,0.1898582405,0.1302127292,-0.607500294
107,0.0929520818,0.3165602627,0.0471246822,-1.618873818
109,-0.025856744,0.28185737,-0.060229534,-0.231450394
111,0.08780135,0.359304782,0.2157319284,-3.108724942
113,0.0569835267,0.177396493,0.1625143712,-1.275170948
115,0.0549890521,0.1711114285,0.1630445625,-2.401201553
117,-0.137123754,-0.230690195,-0.111454775,0.0194463467
119,-0.092441419,-0.037392345,-0.090847022,-0.338227306
121,-0.105308175,-0.096369423,-0.094373884,-1.562358692
123,-0.214294797,-0.279508977,-0.12221802,0.0967649158
125,-0.075904391,-0.041171105,-0.052937664,-1.46898383
127,-0.056953041,0.0022620734,0.0321382326,-1.215468618
129,-0.068595376,0.0379267477,-0.0451833,-0.044805644
131,-0.056773152,-0.015078884,-0.106730522,-0.524463128
133,0.0207221087,0.0530896313,0.0385176713,-1.167885802
135,-0.021823528,-0.045118961,-0.039078329,-0.708713877
137,0.0778698781,0.0403765708,-0.006076825,-1.091686639
139,0.0866753319,0.0602691578,0.1183191996,-1.64052424
141,0.1810705697,0.0905002002,0.2054505282,0.384593819
143,-0.043870081,-0.093610201,-0.051855313,-0.638480812
145,0.1086870151,0.1635772307,0.1510502629,-0.329945142
147,0.1010257548,0.3300047493,0.1344159722,-1.403065998
149,0.090904787,0.4301373984,0.1435261468,-1.455972396
151,0.1162591709,0.4679405512,0.1949023729,-0.550117453
153,0.0283089536,-0.023713513,0.0198261653,0.030224303
155,0.0064769216,-0.065249151,-0.048620675,2.3604921031
157,-0.046761112,-0.006202461,0.0311710195,0.3521247895
159,-0.082159631,-0.142993996,-0.071642274,1.189353148
161,-0.063517357,-0.25028282,-0.156694524,2.5301037627
163,0.009972211,-0.187674309,-0.094913564,1.3060656321
165,-0.033655592,-0.184595466,-0.096735295,1.5648693393
167,0.2006942552,0.1200303046,0.2365959706,0.5238969629
169,0.2237626563,0.2936832512,0.1004863309,0.3452685517
171,0.3942207065,0.1973240999,0.3804215774,-0.433862912
173,0.5839866548,0.6216796286,0.629823174,-1.84883317
175,0.3850836176,0.4567347488,0.3759209744,-1.261721609
177,0.1429576107,0.194495362,-0.015085776,-1.038755921
179,0.1104008514,-0.100390301,0.0356104805,0.3925194122
181,-0.024323927,-0.10536058,-0.070042073,0.1100040144
183,0.2996656302,0.2837151581,0.2693554136,-0.867862647
185,0.2588159814,0.2552240618,0.3091859438,-1.123019962
191,0.0416035183,0.0957742556,0.068411902,-0.722058036
193,0.2117266197,0.1640656369,0.3280838039,-0.771553012
195,0.0616939263,0.037385904,-0.002604596,-0.676943644
197,-0.062102701,-0.064462044,-0.022562638,-0.698008279
199,0.0798391942,-0.039644748,0.0852769191,-0.334249752
201,0.0376279835,0.0545872802,-0.005838717,-0.152913765
203,-0.006106428,0.0942111758,-0.052694004,-0.294488141
205,0.0342734268,0.1472973037,0.039389785,-0.613105997
207,-0.035875873,-0.029246134,-0.141941645,0.1239282568
209,-0.003593935,0.0106890778,-0.071186594,0.4131088238
211,0.0208645147,0.1043534294,0.0019467262,-1.57582757
213,-0.011551767,-0.106284851,-0.08949861,0.2432875361
217,-0.026461517,-0.123767098,-0.101071633,0.6656211925
219,-0.03015427,-0.120045745,-0.077943423,0.5389060063
221,-0.015780094,0.1274935743,-0.057040453,-2.707620921
223,0.220116924,0.6018273167,0.1729265248,-1.108029185
225,0.2232559407,0.4801105653,0.3220217083,-1.804507721
227,-0.05235767,-0.04332737,-0.069219987,-1.431288302
229,-0.01045562,0.1358565076,-0.060502185,-0.931010363
231,-0.051128228,-0.082634491,-0.053241164,0.1787767988
233,-0.028813716,-0.061825786,-0.029275213,0.6716318805
235,0.0047184279,-0.022431887,-0.025564047,0.7631747435
237,0.0555961295,0.0482560232,0.0393699843,-0.14375774
239,-0.002497431,-0.019376009,-0.030359452,0.3351222169
241,-0.025144512,-0.096741313,-0.04417639,-0.459793848
243,-0.050983309,-0.147147438,-0.06233937,-0.793820927
245,-0.078904664,-0.140050904,-0.068493857,0.3169557054
247,-0.079416495,-0.166965763,-0.075260539,-0.240586271
249,0.0547337095,0.0207647881,0.0256246389,-0.199631235
251,-0.05170557,-0.043706022,-0.068177574,-0.364566481
253,-0.064100518,0.0563009969,-0.199516977,0.4624714722
255,0.1212208327,0.3351460686,0.1172289414,-0.747113447
257,-0.075968032,-0.150350199,-0.104783,1.7024936996
259,-0.010560875,0.0093737377,-0.020366408,0.6593102361
261,-0.008552039,0.0359554847,-0.005260436,0.562389951
263,0.0994019416,0.226144959,0.1525653538,0.2057704647
265,0.000814817,0.0686329989,-0.050531503,-1.335520989
267,-0.008023401,0.0574684923,-0.113635833,-0.871412611
269,0.0841978962,0.1058736794,-0.046341844,-0.013086294
271,0.0969427162,0.1271239551,0.0544491051,-0.194911025
273,0.0245640376,0.0717823925,-0.104529077,-0.486270645
275,0.1643363805,0.244570263,0.1403085251,-1.280777302
277,-0.020356883,0.0953061258,-0.154313954,-0.678261138
279,0.021962187,0.2391678106,-0.028654374,-1.782740019
281,0.0992014097,0.1674701752,0.1176080917,-1.916751955
283,-0.028848539,0.0888367123,-0.059436915,-0.799962109
285,-0.050054667,-0.002486447,-0.097220259,-1.506004551
287,-0.062331729,0.1501793854,-0.086654933,-0.803977455
289,-0.032931328,-0.006244654,-0.042523266,0.2321019859
291,-0.059455842,-0.100346204,-0.069114304,-0.777809082
293,-0.065506054,0.0334682567,-0.09786817,-0.197121507
295,-0.035632141,0.004147766,-0.044864558,0.563358138
297,-0.002956497,0.0215028077,-0.098970788,-0.122687245
299,-0.06203612,0.0003001024,-0.088997987,-0.136691261
301,-0.079917082,-0.0086674,-0.122671483,-0.663418246
303,-0.11801372,0.0387780334,-0.074179306,-0.475020401
305,-0.024586521,0.0520124878,-0.073910192,-1.434410588
307,-0.076993845,0.0811955312,0.0041230306,-0.839037217
309,-0.092763391,0.0636742189,-0.075502948,-0.136071121
311,-0.156029594,0.0708535396,0.0051500137,-1.565091946
313,-0.171806143,0.0649321806,-0.003941929,-0.264869765
315,-0.110630322,0.0534306518,0.0007499852,-0.466409739
317,0.0499739225,0.0951481752,0.0375782669,-0.375489003
319,0.0335388709,0.047480095,0.0221641829,-0.843161692
321,0.2004511577,0.236303492,0.249687414,-0.345183786
323,0.048268893,0.0271528439,0.0767593533,-0.828876747
325,-0.13348031,-0.051737284,-0.06876284,0.040098126
327,0.0175343849,-0.009150521,0.0379818945,-0.931218626
329,0.0305400149,0.0397036343,0.0816447424,-1.140926769
331,-0.02046097,-0.076858076,0.0202739255,-0.031981713
333,-0.053547012,-0.207846238,-0.075671162,0.1644855337
335,-0.039911763,-0.084631691,-0.031612386,-0.264786073
337,0.0504912615,0.1175480392,0.0698200046,-0.841492725
339,-0.015520936,0.0789414907,0.1112592069,-0.706759799
341,-0.106840745,0.0031947161,0.0319960639,-1.47098031
343,-0.111312112,0.0802812061,0.0568328265,-0.582945446
345,0.0620265017,0.1773790097,0.1069768657,-0.555345908
347,0.0310482869,0.0791366153,0.0312074046,-0.410139383
349,-0.007794133,0.0441306078,-0.032406257,0.3555018509
351,0.0140744214,0.0663806922,-0.00910523,-0.03200128
353,-0.129840895,-0.101699488,-0.124408379,-0.111899259
355,-0.164485996,-0.196832457,-0.24961691,0.3631003124
357,-0.169309023,-0.188988939,-0.240743587,0.2814293714
359,-0.181699863,-0.461095971,-0.245032704,-0.028520581
361,-0.044415304,-0.069875479,-0.032862382,0.2228741278
363,0.0460963898,0.1825018145,0.0718526878,-0.192071667
365,0.0714493017,0.1981526859,0.1065661909,0.2092094919
367,-0.017314431,0.027620709,-0.030369506,1.9740407593
369,0.0526145488,0.2185671675,0.0320705583,-0.241862424
371,-0.128127508,-0.256721523,-0.209106593,0.9379468104
373,0.2063044351,0.3545872767,0.2104024475,-0.64375579
375,0.0172054931,0.0363941195,0.017273673,0.1092032967
377,-0.090915867,-0.09996337,-0.118380737,-0.60684805
379,0.0548900726,0.1502019574,0.0142541517,-0.961959284
381,0.0444115461,0.004207833,0.0404501413,0.2040803632
383,-0.013959016,-0.160332746,-0.076803225,0.1600013637
