region,sentMword_list,sentMword_prod,sentMword_read,LBJ
1,0.1436232634,0.1751476043,0.1010593834,-0.699381839
2,0.0799375616,-0.122014002,0.1233138321,0.0682673535
3,0.3283759749,0.541242741,0.3898211424,-1.327694876
4,0.0497670292,0.0644618407,0.0809216176,0.22052342
5,0.0868857891,0.5857250632,-0.114672397,0.1598086689
6,-0.070188389,0.0811443053,-0.124630447,0.4851839843
9,-0.074465584,0.2803905411,-0.2416099,1.0900926086
10,-0.049545816,-0.012070775,-0.116145032,1.9461808168
11,0.0337893256,0.3175524828,-0.077641767,0.3099612364
12,-0.044481029,-0.002802154,-0.081825337,0.6734252041
13,0.1739939879,0.4094379778,0.138322362,-2.029153525
14,0.0708863709,0.0465477412,0.1103105803,-1.265077443
15,0.0298280439,0.6854659272,-0.115846529,0.267913648
16,-0.124997432,0.1773143423,-0.157908574,0.6121797997
17,0.0392473834,0.4569572553,-0.071009847,2.8765129762
18,-0.084745173,0.1630188205,-0.154071786,3.156748028
19,-0.175213177,0.3060373692,-0.404074495,1.5794337509
20,-0.181849961,-0.02023001,-0.484995569,3.3276595763
21,-0.082142679,0.282460212,-0.194317196,1.7521270819
22,-0.022847608,0.1357993532,-0.058885589,2.1453356324
23,-0.109337603,0.3452490337,-0.361422235,0.8745015559
24,-0.109085247,0.1204644744,-0.233535785,1.050482388
25,0.0443126216,0.4365398728,-0.0145778,-0.762977143
26,-0.176859071,-0.030109673,-0.351673344,0.2793108076
27,0.0289971343,0.8016916132,-0.078832864,0.6971250007
28,-0.130552512,0.0739101432,-0.200559743,2.3989620741
29,0.0143270229,0.7684055258,-0.118126041,0.9182846973
30,-0.061677831,0.150287283,-0.318051942,3.5665902553
31,0.3474106527,1.3591769738,0.4667486007,2.3205025781
32,0.0050982451,0.4082272132,0.0660557105,5.2667865073
33,0.5267961116,1.4050505513,0.8210934481,0.8498027853
34,0.1195288904,0.3753120494,0.2130641135,2.5200360474
37,-0.231051413,-0.018069646,-0.429537451,1.473567881
