,region,Density
1,1,1.206717366
2,2,1.466961436
3,3,0.971161883
4,4,0.830996834
5,5,0.006962771
6,6,0.085994678
7,7,1.554221472
8,8,1.453886506
9,9,1.150195096
10,10,1.063211109
11,11,1.070658463
12,12,0.970564198
13,13,1.021627482
14,14,1.63676872
15,15,0.43836208
16,16,1.063789096
17,17,0.376712192
18,18,0.491942518
19,19,0.480322692
20,20,1.0098406
21,21,1.103924502
22,22,1.476089583
23,23,0.52725409
24,24,0.924044031
25,25,0.807392641
26,26,1.142870919
27,27,0.330598517
28,28,0.652270473
29,29,1.220594831
30,30,1.628270325
31,31,0.815054624
32,32,1.005512229
33,33,0.336439305
34,34,0.479314296
35,35,0.530425998
36,36,0.426910787
37,37,1.152171181
38,38,1.07272892
39,39,0.999504479
40,40,0.428314513
41,41,-0.113816443
42,42,-0.704547678
43,43,-0.639653993
44,44,-1.027727799
45,45,0.322714719
46,46,-0.489031892
47,47,0.409092569
48,48,0.111141853
49,49,0.19607209
50,50,0.593593818
51,51,0.563496441
52,52,0.699674748
53,53,0.608252754
54,54,0.550585635
55,55,0.809374415
56,56,1.001566442
57,57,0.007030871
58,58,0.088442428
59,59,-0.095094722
60,60,0.255521304
61,61,-0.365238488
62,62,0.263083825
63,63,0.439695382
64,64,0.513625109
65,65,0.698761465
66,66,0.960754484
67,67,-0.232913249
68,68,0.553549715
69,69,0.606583558
70,70,1.13768365
71,71,0.787044394
72,72,1.111870621
73,73,1.462125174
74,74,1.822165185
75,75,1.14975677
76,76,0.892223321
77,77,0.430209351
78,78,0.41851125
79,79,0.687193737
80,80,0.906022662
81,81,-0.020054751
82,82,0.888172926
83,83,0.956985169
84,84,0.90481667
85,85,0.18796357
86,86,0.603635921
87,87,1.089589268
88,88,1.217606794
89,89,0.607744873
90,90,1.182602103
91,91,0.856794447
92,92,1.051172278
93,93,1.381524084
94,94,1.365161154
95,95,1.799518414
96,96,0.543233151
97,97,0.680618071
98,98,0.935829019
99,99,0.799708306
100,100,0.703220539
101,101,-1.115891315
102,102,-0.09941035
103,103,-0.248562795
104,104,-0.681247449
105,105,-0.44678116
106,106,-0.449759151
107,107,-0.687425486
108,108,0.496089444
109,109,1.333385389
110,110,1.029314424
111,111,1.000030986
112,112,0.891483219
113,113,1.129934915
114,114,0.555205126
115,115,-0.097795574
116,116,0.079646867
117,117,-5.809878086
118,118,-5.010028706
119,119,-0.456848155
120,120,-0.877072115
121,121,-0.481279538
122,122,-0.768979712
123,123,-2.524653222
124,124,-2.631913556
125,125,-0.042788112
126,126,-0.715106661
127,127,0.199760477
128,128,-0.129510333
129,129,-0.065294717
130,130,-0.392897451
131,131,0.00062907
132,132,-0.474579991
133,133,-0.176924261
134,134,-0.297675834
135,135,-0.145157547
136,136,-0.8648293
137,137,-0.282760391
138,138,-0.205822581
139,139,-0.293201342
140,140,-0.91355616
141,141,0.30447861
142,142,0.004086793
143,143,-0.824396363
144,144,0.087493006
145,145,0.896204571
146,146,0.914830389
147,147,0.211529495
148,148,0.137948977
149,149,0.002690271
150,150,0.057342438
151,151,0.349898502
152,152,0.258715781
153,153,0.632584372
154,154,0.834276988
155,155,0.873820104
156,156,0.70151444
157,157,0.104528822
158,158,-0.07853379
159,159,0.086918104
160,160,0.347233428
161,161,2.064610557
162,162,1.812479209
163,163,0.959566713
164,164,0.803301004
165,165,0.236790024
166,166,0.023340035
167,167,-0.231878246
168,168,0.013060894
169,169,0.481518037
170,170,1.266464903
171,171,0.864177033
172,172,0.606341354
173,173,0.339128992
174,174,0.186600321
175,175,0.885504062
176,176,0.253004286
177,177,0.187271688
178,178,0.31939345
179,179,0.409027573
180,180,-0.279346473
181,181,0.420305405
182,182,0.312548393
183,183,-0.371789023
184,184,-0.552883646
185,185,0.125123719
186,186,-0.397100256
187,187,0.157973185
188,188,-0.619790729
189,189,0.222753106
190,190,0.640758866
191,191,0.523319791
192,192,0.00992702
193,193,0.082148512
194,194,0.096893651
195,195,-0.534893898
196,196,-0.528221151
197,197,0.497094992
198,198,1.152289346
199,199,2.030223108
200,200,1.19308392
201,201,-0.411458495
202,202,-0.4868644
203,203,-2.516094663
204,204,-1.553396799
205,205,-3.079866272
206,206,-1.583439513
207,207,0.731031369
208,208,0.798915892
209,209,0.587272084
210,210,0.802093991
211,211,0.487201402
212,212,0.707862521
213,213,0.645743877
214,214,0.599285178
215,215,0.625392573
216,216,0.920267651
217,217,1.79668149
218,218,1.344307409
219,219,1.042260865
220,220,0.797949635
221,221,0.450143834
222,222,0.84340545
223,223,0.131208809
224,224,0.415727537
225,225,-0.182164689
226,226,0.754095683
227,227,-0.06540448
228,228,-0.114948414
229,229,0.316868729
230,230,0.334549096
231,231,-0.014540199
232,232,-0.078859889
233,233,-0.02238691
234,234,0.048186082
235,235,-0.344626379
236,236,-0.393243688
237,237,0.146776426
238,238,-0.024034613
239,239,1.898366776
240,240,1.753976316
241,241,-0.132698823
242,242,-0.114588036
243,243,-0.620647668
244,244,-0.381907118
245,245,-1.143868133
246,246,-0.870921153
247,247,-1.76144847
248,248,-1.67554093
249,249,-1.00503829
250,250,-0.659676737
251,251,-1.87282909
252,252,-1.552285515
253,253,-1.001565567
254,254,-0.9800956
255,255,-1.400512241
256,256,-0.775488774
257,257,-0.339185748
258,258,0.089625616
259,259,0.643424948
260,260,0.561977678
261,261,0.022852246
262,262,1.183693593
263,263,-2.157565574
264,264,0.902159893
265,265,-0.279586908
266,266,-0.52796064
267,267,-0.488472676
268,268,0.114735899
269,269,-0.436273471
270,270,-0.181484244
271,271,0.117659297
272,272,0.26460096
273,273,0.720593155
274,274,0.674622033
275,275,-1.348294723
276,276,0.911930905
277,277,0.03128587
278,278,-0.285644539
279,279,1.05817799
280,280,0.727503739
281,281,0.156410461
282,282,0.140893389
283,283,0.141841876
284,284,0.019522529
285,285,0.743980524
286,286,0.517227406
287,287,1.543785684
288,288,0.824069902
289,289,-0.724968407
290,290,-0.959365536
291,291,-0.834866639
292,292,-0.441799372
293,293,0.192364787
294,294,-0.06250721
295,295,-0.169202536
296,296,-0.761844981
297,297,-0.806810881
298,298,-1.384142602
299,299,0.33614138
300,300,-0.075604149
301,301,0.389212589
302,302,0.222105254
303,303,-1.611636332
304,304,-1.691452337
305,305,-0.616565439
306,306,-0.923063668
307,307,0.249537649
308,308,0.210105553
309,309,0.54897087
310,310,0.283946129
311,311,0.957020959
312,312,1.734198258
313,313,0.263788779
314,314,0.358397725
315,315,0.199633484
316,316,-0.036267721
317,317,-0.91649458
318,318,-0.759597851
319,319,-1.337046518
320,320,-1.496629757
321,321,0.897861644
322,322,1.063542931
323,323,-0.898975239
324,324,-1.105401709
325,325,-1.336028364
326,326,-0.31030124
327,327,0.025077726
328,328,-0.402950278
329,329,-0.768119803
330,330,-0.862810077
331,331,-0.530154652
332,332,-0.735011167
333,333,-0.403524087
334,334,-0.509540227
335,335,-0.562488699
336,336,-0.600646654
337,337,0.177330315
338,338,-0.181604632
339,339,-1.287759974
340,340,-1.472135423
341,341,-0.760553617
342,342,-0.975015633
343,343,0.042853556
344,344,-0.429149953
345,345,-1.302318648
346,346,-1.093373035
347,347,-0.593621112
348,348,-0.875066704
349,349,-0.113463804
350,350,-0.226748892
351,351,-1.625274782
352,352,-1.634178878
353,353,-1.618640187
354,354,-0.807954414
355,355,-0.830004177
356,356,-0.505971685
357,357,-1.305635785
358,358,-0.831254378
359,359,-1.387473521
360,360,-0.800440724
361,361,-1.491920598
362,362,-1.899196849
363,363,-1.105198783
364,364,-1.035013833
365,365,-1.699922755
366,366,-1.675173128
367,367,-0.944935685
368,368,-0.723277976
369,369,-1.899394812
370,370,-1.655576813
371,371,-1.942101704
372,372,-1.586391209
373,373,-1.336496512
374,374,-0.77760634
375,375,-1.812898706
376,376,-1.967622181
377,377,-1.63032309
378,378,-1.130361143
379,379,-0.614323044
380,380,-0.708365746
381,381,0.100044606
382,382,-3.128327827
383,383,-0.788571607
384,384,-1.059865834
