,region,Density
1,1,0.480258465
2,2,0.696781707
3,3,0.524504324
4,4,0.641226956
5,5,0.235686033
6,6,0.232460161
7,7,0.699381348
8,8,0.772927231
9,9,0.641064913
10,10,0.835253792
11,11,0.793188991
12,12,0.848853548
13,13,0.757483598
14,14,1.023321734
15,15,0.29831134
16,16,0.800479074
17,17,0.507010226
18,18,0.611574555
19,19,0.639851125
20,20,0.9731498
21,21,0.797185125
22,22,1.015082847
23,23,0.73709064
24,24,0.891246598
25,25,0.667340672
26,26,0.980370602
27,27,0.576676896
28,28,0.836135045
29,29,0.971664564
30,30,0.990566637
31,31,0.900721078
32,32,0.94988223
33,33,0.472215104
34,34,0.495176039
35,35,-0.622486438
36,36,-0.655066383
37,37,0.513074449
38,38,0.671542133
39,39,0.605335693
40,40,0.56669245
41,41,-0.763752646
42,42,-1.035301503
43,43,-0.796007296
44,44,-0.927744351
45,45,0.096503297
46,46,-0.051071489
47,47,0.723441426
48,48,0.540415475
49,49,-1.594712306
50,50,-1.041047251
51,51,0.655902643
52,52,0.838281898
53,53,0.744879627
54,54,0.753334322
55,55,0.226351496
56,56,0.521914036
57,57,0.338887606
58,58,0.466047639
59,59,0.118993817
60,60,0.0711309
61,61,0.214994685
62,62,0.171693866
63,63,0.47748762
64,64,0.355426241
65,65,0.072958261
66,66,0.073970868
67,67,-0.495059945
68,68,-0.004627108
69,69,0.139873463
70,70,0.44416255
71,71,0.713012809
72,72,0.753205076
73,73,0.508791078
74,74,0.83412792
75,75,0.998839815
76,76,1.039424351
77,77,0.284037595
78,78,0.196938872
79,79,0.145784176
80,80,0.342110893
81,81,-0.692548354
82,82,0.15963959
83,83,0.751633797
84,84,0.740366199
85,85,-0.070835003
86,86,0.116883531
87,87,0.715529591
88,88,0.872827153
89,89,0.843594815
90,90,1.097354447
91,91,0.717118042
92,92,0.512192119
93,93,0.828167141
94,94,0.936906643
95,95,0.930342934
96,96,0.923096653
97,97,0.451206962
98,98,1.028095344
99,99,0.826326661
100,100,1.169202716
101,101,-0.182407523
102,102,0.698905881
103,103,0.181039849
104,104,0.60004026
105,105,0.701565352
106,106,0.77969423
107,107,-0.389770208
108,108,0.851139921
109,109,0.793773273
110,110,0.797816873
111,111,0.835266333
112,112,0.79455016
113,113,0.892056497
114,114,0.742604112
115,115,0.400397966
116,116,0.533744775
117,117,-4.417699839
118,118,-3.683969288
119,119,-1.066654267
120,120,-0.547260443
121,121,-0.369100817
122,122,0.034559102
123,123,-1.786972939
124,124,-1.109439158
125,125,0.069132018
126,126,0.543965848
127,127,0.306248601
128,128,0.595924186
129,129,0.048814592
130,130,0.023994591
131,131,-0.271750519
132,132,0.191685868
133,133,0.242051679
134,134,0.497171353
135,135,0.445703584
136,136,0.472729363
137,137,0.502449946
138,138,0.890801897
139,139,0.279515444
140,140,0.480780645
141,141,0.945296204
142,142,0.993845812
143,143,0.159852507
144,144,0.667008713
145,145,-0.832009256
146,146,-0.821788823
147,147,-0.213448022
148,148,-0.511870067
149,149,0.416183539
150,150,0.475837072
151,151,0.163435214
152,152,0.218266196
153,153,-1.298752683
154,154,-1.288299719
155,155,0.30313948
156,156,0.405759894
157,157,0.2498743
158,158,0.275669534
159,159,0.191362056
160,160,0.16458923
161,161,0.694760859
162,162,0.898984046
163,163,-1.039486201
164,164,-1.117366619
165,165,0.535972761
166,166,0.325672125
167,167,0.255145355
168,168,0.286899683
169,169,-0.585355676
170,170,0.149439183
171,171,0.523051425
172,172,0.470062364
173,173,0.850548319
174,174,0.91939421
175,175,0.829786354
176,176,1.041156249
177,177,0.914820333
178,178,1.132795893
179,179,0.158976175
180,180,-0.109681659
181,181,0.148004073
182,182,0.237377306
183,183,0.298228792
184,184,0.413746146
185,185,0.572930384
186,186,0.700745122
187,187,-0.33846006
188,188,-0.592360648
189,189,-0.274084099
190,190,-0.336719562
191,191,0.467560555
192,192,0.584169213
193,193,0.914150134
194,194,0.75143579
195,195,0.711779133
196,196,0.744572835
197,197,-2.210902536
198,198,-3.066802532
199,199,-2.760481967
200,200,-1.971198685
201,201,-0.092801084
202,202,-0.214912901
203,203,-0.608094437
204,204,-0.218526294
205,205,-1.666349103
206,206,-0.799305821
207,207,-0.127549431
208,208,0.79677426
209,209,-0.762280471
210,210,0.58462426
211,211,-0.919311272
212,212,0.58418225
213,213,0.029108341
214,214,0.704437092
215,215,0.455855015
216,216,0.687210296
217,217,-0.517576256
218,218,0.764162131
219,219,-0.124783299
