,region,Density
1,1,1.014451397
2,2,1.161621263
3,3,0.89873393
4,4,0.884788894
5,5,0.573661357
6,6,0.498137655
7,7,1.10263126
8,8,1.212229532
9,9,0.995027521
10,10,1.094642203
11,11,1.112417528
12,12,1.088236557
13,13,1.115719003
14,14,1.684843631
15,15,0.804692755
16,16,1.237905736
17,17,0.58567219
18,18,0.794584363
19,19,0.608120257
20,20,1.154113295
21,21,1.062349154
22,22,1.511646034
23,23,0.647206859
24,24,1.023667495
25,25,0.744096703
26,26,1.221442645
27,27,0.31292729
28,28,0.803263576
29,29,1.154744279
30,30,1.518048322
31,31,1.008747335
32,32,1.293310059
33,33,0.283568918
34,34,0.530870345
35,35,0.009996716
36,36,0.107593018
37,37,0.62497437
38,38,0.904963528
39,39,0.81097526
40,40,0.572139929
41,41,-0.411738129
42,42,-0.660685672
43,43,-0.455142033
44,44,-0.836089617
45,45,0.357257423
46,46,-0.075643114
47,47,0.483279672
48,48,0.417739424
49,49,-0.669446726
50,50,-0.192671806
51,51,0.736713704
52,52,0.978079248
53,53,0.76414666
54,54,0.89048101
55,55,1.210373874
56,56,1.305535719
57,57,0.378069686
58,58,0.382624739
59,59,-0.05076509
60,60,0.072090624
61,61,0.353503648
62,62,0.354930258
63,63,0.424765674
64,64,0.501975251
65,65,0.639376797
66,66,0.771857967
67,67,0.2633414
68,68,0.503920563
69,69,0.600657278
70,70,0.845769221
71,71,0.742949277
72,72,1.00395821
73,73,1.517616808
74,74,1.890054387
75,75,1.216893985
76,76,1.129771367
77,77,0.472486468
78,78,0.456919937
79,79,1.003337575
80,80,1.01726916
81,81,1.000444103
82,82,1.176552346
83,83,0.852897423
84,84,0.969124716
85,85,0.880925526
86,86,0.648382783
87,87,0.898788351
88,88,1.423852442
89,89,0.779014486
90,90,1.434139449
91,91,0.770596587
92,92,0.6791873
93,93,1.094066672
94,94,1.041972333
95,95,1.253559148
96,96,0.541137089
97,97,0.660519382
98,98,0.880729282
99,99,0.754556928
100,100,0.86974214
101,101,0.060246745
102,102,0.644069125
103,103,0.664336123
104,104,0.193546175
105,105,0.426502817
106,106,0.454351592
107,107,0.136028083
108,108,0.737640339
109,109,1.545765824
110,110,1.291945688
111,111,1.119855539
112,112,1.0034045
113,113,1.028873428
114,114,0.711665101
115,115,-0.263967882
116,116,0.054535918
117,117,-3.617461904
118,118,-3.562410739
119,119,-0.820154851
120,120,-0.751276837
121,121,-0.374084831
122,122,-0.092375307
123,123,-1.415513811
124,124,-1.186274796
125,125,-0.19792014
126,126,-0.033380577
127,127,0.336998406
128,128,0.163731756
129,129,-0.164778077
130,130,-0.401824014
131,131,-0.351967832
132,132,-0.210400479
133,133,0.22850486
134,134,0.335012386
135,135,0.048054527
136,136,0.010267193
137,137,0.286278275
138,138,0.315536117
139,139,0.495493839
140,140,0.224327391
141,141,0.679418021
142,142,0.397451737
143,143,-0.006887812
144,144,0.38788763
145,145,-0.706733536
146,146,-0.782979351
147,147,-0.135995709
148,148,-0.391965493
149,149,0.277195249
